CmpdID,neuSmi,y_true,y_pre
4169,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,4.892482606,4.884351254
8094,O=P(O)(O)OCC(O)CO,4,3.99669528
8902,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,4,3.996607065
5614,CC#Cc1cncc(-c2cccc(C3(c4ccnc(C(F)F)c4)N=C(N)c4c(F)cccc43)c2)c1,5.54,5.607027054
2578,CN(Cc1ccccn1)Cc1ccccc1CNc1ccnc2cc(Cl)ccc12,6.06,5.641706944
12801,NCCNCCNCCN,4,4.032452583
9124,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1,4,4.528766632
6270,CCCCNc1nc(N)nc2cnn(Cc3ccc(C4CCNCC4)cc3OC)c12,5.4,5.038532734
6035,COc1cccc(N2CCN(CCN3CCN(C(C)C)CC3)C2=O)c1,4.2,5.360399723
12550,NC(=O)CF,4,3.983051538
11688,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,4,4.307017803
7466,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,4.664103932,4.401904106
1950,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccc(C(F)(F)F)cc3)CC2)n1C,5.8,6.012878895
63,CC(C)N1CCN(Cc2cnc(-c3ccc(C(=O)Nc4ccccc4N)cc3)c(Cl)c2)CC1,5.15,5.098991394
4039,CN(C)CCCCc1ccc(C(C)(C)C)cc1,5.12,4.485185146
6016,C[C@H]1C[C@H](C(=O)O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccccc3)c3cc(F)c(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12,4.75,5.100234509
6868,NC(=O)c1cc(Cl)c2c(Cl)c(C#CC3COCCO3)n([C@H]3CCCNC3)c2n1,8.85,8.224916458
1988,CCn1cc([C@]2(c3cccc(NC(=O)c4ccc(Cl)cn4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,5.89,5.25860548
12250,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,4,4.032178879
2916,O=C([C@@H]1C[C@H]1c1ccc(C(F)(F)F)cc1)N1CCN(S(=O)(=O)c2cc(-c3ccn[nH]3)cc(C(F)(F)F)c2)CC1,6.3,6.110926151
10582,CCCCCCCCCCCCCCCCN,4,4.073795795
5226,O=C(c1cc(F)cc(F)c1)N1CCN(c2ccc(OCCCN3CCCCCC3)cc2)C(=O)C1.O=CO,4.9,4.772754192
13184,O=C(O)c1ccc(Cl)cc1Cl,4,4.003484249
12410,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,4,4.972022057
11799,CN1CCCC1=O,4,3.983065128
1721,C[C@@H]1CCCN1CCc1ccc(-c2ccc(S(=O)(=O)NCc3ccncc3)cc2)cc1,5.09,5.901472092
164,CC1(c2cccc(-c3cccnc3)c2)N=C(N)c2ccccc2O1,5.55,4.944981575
4480,C[C@@H]1CN(C(=O)c2ccnc(Nc3nc4cnc(Nc5ccc(F)c(C(F)(F)F)c5)cc4[nH]3)c2)C[C@H](C)N1,4.89,5.504558086
9656,Cc1ccc(O)cc1C,4,3.989278793
8780,CC#C[C@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4,4.027472973
687,COc1cc(-c2cn(Cc3ccccc3F)nn2)ccc1-n1cnc(C)c1,5.6,5.814351082
9877,Cc1ccc2cccnc2c1,4,3.967969179
7571,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)(O)OCC,4.481661036,4.880173683
5720,CC(C)(C(=O)O)c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1,4.16,5.149177074
10669,CCCCCCOc1ccc(O)cc1,4,4.190822601
8708,c1ccccc1,4,3.98771739
13045,O=C1OCCO1,4,3.992358446
2161,Cc1ccc2cccc(NC(=O)[C@]3(O)CC[C@@H](NCc4cc5c(cn4)OCCO5)CC3)c2n1,5.7,4.88371706
2102,c1ccc2c3c([nH]c2c1)C(C1CCCCC1)N[C@@H](c1nc(-c2cnccn2)c[nH]1)C3,6.47,6.409391403
2037,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccccc1)c1ncc[nH]1,4.9,5.304231644
4851,C[C@H]1OC(=O)[C@]2(O)CC(F)(F)[C@@H](C)[C@H](/C=C/c3ccc(-c4cccc(F)c4)cn3)[C@H]12,4.54,4.819391251
2979,c1cncc(C(Cc2ccccc2-c2cncc3ccccc23)c2cccnc2)c1,4.92,5.007682323
2555,Nc1ccc(-c2nnc(C3CCN(Cc4ccc(-c5nc6nc(N7CCN(CCO)CC7)ncc6cc5-c5ccccc5)cc4)CC3)[nH]2)cn1,5.13,5.479589939
3001,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3cnc4cccnc43)[C@H](C)C2)cn1,4.89,5.096705437
10997,CCOC(=O)c1ccc(NC(=O)CN2CCCCC2)cc1,4,4.26905632
5903,O=C(NC1CNC1)c1cccn2c(=O)c3ccc4ccccc4c3nc12,5.4,5.147593498
11462,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,4,4.733755112
12409,CCCC[n+]1ccccc1C.F[P-](F)(F)(F)(F)F,4,4.050466537
8314,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,4,3.935614347
13351,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,4,5.510265827
11693,CN(C)CCCN(C)C,4,4.03054142
11781,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,4,4.014903069
12335,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,4,4.289511681
7580,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl,4.460103451,4.258870125
1444,Cn1c(SCCCN2CC3CCN(c4ccccc4F)C3C2)nnc1-c1cnccn1,6,5.931178093
13152,O=C(O)c1ccccc1OP(=O)(O)O,4,3.97210598
256,Cn1ccc(Cn2cc(-c3ccc(Cl)c(C(F)(F)F)c3)cn2)n1,5.46,5.02427578
5051,COC(=O)[C@@H]1C[C@@H]1COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,6.22,5.571205616
10175,C#CC(O)(C=CCl)CC,4,4.0097785
2455,NC(=O)c1ccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)cc1,6.17,5.871582031
11770,Cn1cc[nH]c1=S,4,3.986201763
11613,C=COCCCl,4,4.003654957
6494,NC[C@]1(c2ccsc2)[C@@H]2CCN(c3cnc4c(-c5cccnc5C(F)(F)F)n[nH]c4n3)C[C@@H]21,5.25,5.76576376
126,CC(=O)Nc1cccc(Nc2ncnc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C,5.58,5.658474922
3373,CN1C(C)(C)CC(Nc2nc3c(-c4ccc(C(=O)N5C[C@@H]6C[C@H]5CO6)cc4)cnn3c(N)c2-c2ccccc2)CC1(C)C,5.44,5.099999428
10220,CCc1ccc(C=O)cc1,4,4.005571842
10934,CCNS(=O)(=O)c1ccc(C)cc1,4,3.998149633
6625,CC(C)c1ncn(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(C(F)(F)F)nc3)C[C@H]2CCO)n1,8.24,7.845404625
368,Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(S(C)(=O)=O)cn2)C3)ccc2c1COC2=O,4.885,4.910814285
4581,O=C(Nc1ccc(F)c(Cl)c1)N1CCN(C[C@@H]2CCCN(C3CC3)C2)CC1,4.85,5.298444271
6476,O=C(N[C@H]1C[C@@H](O)C1)c1ccc2cc(Oc3ccc(C(F)(F)F)cn3)ccc2n1,4.7,4.790570259
11384,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,4,4.234814167
12282,COCCOCCOCCOCCO,4,4.028476715
5888,COC(=O)C1=C(C)NC(C)=C(C(=O)NC[C@H]2CCN(CCc3ccc(C(F)(F)F)cc3)C2)C1c1cccc([N+](=O)[O-])c1,5.83,5.649659157
997,Cc1cc(Nc2nccc(-c3sc(C4CCNCC4)nc3-c3ccc(F)cc3)n2)ccn1,6,5.362839222
9508,CC(=N[Si](C)(C)C)O[Si](C)(C)C,4,4.022966862
11133,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,4,4.093544006
13167,O=C(O)c1cc(Cl)cc(Cl)c1,4,4.031788349
2600,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(OCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,5.1,5.353034973
6803,Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)N1CCCC1)C2,5,5.230185032
8558,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,4,4.255846977
13412,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,4,4.089949608
11626,ClP(Cl)c1ccccc1,4,4.015982628
1633,Fc1ccc(Cn2c([C@H]3CNCCS3)nc3ccccc32)cc1,6.05,5.744006634
2983,COC(=O)N(C)c1c(N)nc(-c2nc(Cc3ccccc3F)n3ncccc23)nc1N,4.79,4.881697655
1855,Cc1nccnc1C(=O)N1CCC([C@H](N)Cc2cc(F)c(F)cc2F)CC1,4.26,4.605654716
8999,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4,4.028052807
9469,C=CC(=O)OCC(C)OCC(C)OCC(C)OC(=O)C=C,4,4.004772663
1032,CCn1cc([C@@]2(c3nn(CCN(C)C)c(=O)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.47,5.081614971
11518,Clc1cccc(Cl)c1,4,4.012737274
6291,C[C@@]1(N2CCC(c3cc4cc(NC(=O)[C@H]5C[C@@H]5c5ccccn5)ncc4cc3Cl)CC2)COC[C@@H]1O,5.5,5.063385963
1053,COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(c4ccccc4)(c4ccc(Cl)nc4)CC3)C(C)(C)C2)cc1,5.68,5.769010544
13348,OC1(c2ccc(Cl)cc2)CCNCC1,4,4.05573225
11171,CCS(=O)(=O)C(C)(C)S(=O)(=O)CC,4,4.030228138
12318,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,4,4.207294464
1169,Cc1nc(N2CCC3(CCN(C[C@H](O)c4ccc5c(c4C)COC5=O)CC3)C2)ccc1S(C)(=O)=O,5.1,4.930983543
9426,CC(CC(=O)Cl)CC(C)(C)C,4,4.071863174
12989,O=C1CCCC(=O)O1,4,3.980149508
5050,N[C@@H]1COC[C@H]1Oc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.95,5.449576378
5961,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3nccs3)CC2)C1,4.5,4.861775875
10046,CC1COc2ccccc2N1,4,3.998194695
9820,CC1=CC[C@H]2C[C@@H]1C2(C)C,4,4.003731251
2542,Fc1ccc(C(Cc2ccccc2OC(F)(F)F)N2CCNCC2)cc1,5.136666667,5.229762077
7024,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,5.788006113,5.914103985
10398,CCCCCC#CC(=O)OC,4,4.011528015
9738,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,4,5.108791828
7934,CCCC[n+]1ccccc1C,4,4.047152042
11560,O=C1Cc2cc(Cl)ccc2N1,4,4.064146042
11925,COC(=O)/C=C\C(=O)OC,4,4.06467247
9055,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,4,4.089275837
13586,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,4,4.036028385
7106,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCCC2,5.338006113,5.494208813
10472,CCCCCCCC/C=C\CCCCCCCC(=O)OC,4,4.058521748
4402,CC1(C)Cc2c(CN3CCC4(CC3)CCN(C(=O)c3ccncc3)CC4)cccc2O1,4.835,5.041696548
50,CC(C)(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,5.11,5.129651546
13450,Oc1ccc(Cl)c(Cl)c1,4,4.048354626
6399,COc1ccc(CC(=O)N2CCC3(CC2)CN([C@@H]2CCc4cc(-c5ncccn5)ccc42)C3)cc1,5.54,5.132201195
9439,CC(CC=O)CCCC(C)(C)O,4,4.006846905
9637,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,4,4.326987267
3462,CN1CCN(Cc2ccc(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1,5.98,5.918323517
5,COc1cc(N2CCCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,4.96,5.322789669
6191,CCC[C@@H](CCO)Nc1nc(N)nc2cnn(Cc3ncc(C4=CC5(CCN(C(C)C)CC5)C4)cc3OC)c12,4.21,4.769731045
2039,Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C7CC7)oc6cc5CC4)n3C)cccc2n1,6,5.736012936
1712,Cc1cc2ncc(C(=O)N3CCC([C@H](N)Cc4cc(F)c(F)cc4F)CC3)c(C)n2n1,4.75,4.880467415
5117,O=C1CCc2c(Oc3ccc4c(c3)C[C@H](NC(=O)c3cc(C(F)(F)F)cc(C5(O)CNC5)c3)CC4)ccnc2N1,5.31,4.939051151
165,COc1ccc(C2(c3cccc(-c4cccnc4)c3)CC(OC)C(N)=N2)cc1,5.628,4.979900837
4717,COC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,4.83,4.516343117
1441,NC(=O)[C@H]1CC[C@@H](c2ccc(OCc3ccccc3F)cc2)N1,5,4.991795063
13509,C#CCO,4,3.995967627
4282,O=C([C@@H]1CC[C@@H](N2CCOCC2)C[C@H]1c1ccc(Br)cc1)N1CC(c2ccccc2)(c2ccccc2)C1,6.54,6.113457203
2521,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(C(=O)N2CCC3(CCCN3)CC2)cc1,4.91,5.068591595
